about вокруг
knife нож 
knight рыцарь 
knock стук
knot завязывать
know знать 
knowledge знание
lab лаборатория
lack отсутствие
lad парень
ladder лестница 
lady дама
lake озеро 
lamp лампа 
land почва
lane дорожка
language язык
lap колени
large большой
laser лазер 
last последний
late поздний
laugh смех
launch запускать
law закон
lawn газон
lawyer адвокат
lay класть
lead вести
leader руководитель
lean прислонять
leap скакать
learn изучать
least наименьший
leather кожа 
leave покидать
left левый
leg нога
legal законный
length длина
less меньший
machine машина 
mad сумасшедший
magazine журнал 
magic волшебный 
mail почта
main основной
maintain поддерживать
major майор
make делать
male мужской
man человек
manage руководить
manager управляющий
manner способ
many многие
map карта 
march марш
marine пехота
mark знак
market рынок
marriage женитьба
marshal маршал
mask маска
mass масса
massive массивный
master хозяин
match спичка
material материал
matter дело
may май 
maybe может_быть 
mayor мэр 
nail гвоздь
naked обнаженный
name имя
narrow узкий
nasty отвратительный
national национальный
native уроженец
natural естественный
naturally естественно
nature природа
navy военно-морской_флот 
near ближний
nearly около 
neat аккуратный
necessary необходимый
neck шея
need нужда
needle игла
neither ни_тот,_ни_другой
nerve нерв
nervous нервный 
nervously нервно 
never никогда 
new новый 
news новость
next следующий
nice хороший
night ночь
observe наблюдать
obvious очевидный
obviously очевидно
occasion случай
occasionally изредка
occupy занимать 
occur случаться
ocean океан 
odd нечетный
offer предложение
office контора
officer офицер
official чиновник
often часто 
oil нефть
okay ладно!
old старый 
on на 
once однажды
one один
only только
open открытый
operate работать
operation действие
operator оператор
opinion мнение
pace шаг
pack пакет
package сверток
pad подушка
page страница 
pain боль
paint краска
pair пара 
pal товарищ
palace дворец 
pale бледный 
palm пальма
panel панель
panic паника
pant брюки
paper бумага
parent родитель 
park парк
part часть
particular частность
particularly особенно
partner участник
party вечеринка
pass проходить
passage проход
passenger пассажир 
past прошлое
pat похлопывание
patch клочок
path тропинка
patient пациент
patrol патруль
pattern образец
pause пауза
quarter четвертая_часть
queen королева 
question вопрос
quick быстрый
quickly быстро 
quiet тихий
quietly тихо
quit покидать
quite вполне
rabbit кролик 
race раса
rack вешалка
radio радио
rage ярость
rail ограда
rain дождь
raise поднимать
ram баран
ramp скат
random случайный
rank шеренга
rape изнасиловать 
rapidly быстро 
rat крыса 
rate норма
rattle треск
ray луч 
reach достигать
react реагировать 
reaction реакция
read читать
ready готовый 
real действительный
reality действительность
sad печальный
safe безопасный
sail плавание 
sailor моряк
sale продажа
same тот_же_самый 
sand песок 
sandwich сандвич
satisfy удовлетворять
Saturday суббота 
save спасать
say говорить
scale шкала
scan сканировать
scar шрам
scare пугать
scatter разбрасывать
scene сцена
schedule расписание
school школа 
science наука 
scientist ученый 
score зарубка
scramble карабкаться
table стол 
tag ярлык
tail хвост 
talk говорить 
tall высокий
tan загар
tangle путаница
tap стук
tape записывать 
target цель
taste вкус
taxi такси 
tea чай 
teach учить
teacher учитель 
team команда
tear разрыв
technician техник 
teeth зубы 
telephone телефон
television телевидение 
tell говорить
temple храм
ten десять 
tend заботиться
tense натянутый
tension напряжение
tent палатка 
ugly уродливый
unable неспособный
uncle дядя 
uncomfortable неудобный 
unconscious бессознательный 
under ниже 
underground метро
underneath внизу
understand понимать
uniform форма
unit единица
united соединенный
universe мир
university университет
unknown неизвестный 
unless если_не 
unlock отпирать
until до_тех_пор_пока
unusual необыкновенный
up выше
upper верхний
upset расстраивать
upstairs наверх
vampire вампир 
van фургон
vanish исчезать
various различный
vast громадный
vault погреб
vehicle любое_средство_передвижения 
very очень 
video видео 
view вид
village поселок
violently неистово
violet фиалка
visible видимый
vision зрение
visit посещение
visitor посетитель
voice голос 
wade брод
wagon телега
wail вопль
waist талия 
wait ждать 
waiter официант
waitress официантка
wake просыпаться
walk ходьба
wall стена 
wallet бумажник 
wander бродить 
want хотеть
war война 
warehouse склад
warm теплый
warn предупреждать
warrior воин 
was был
waste бесполезная_трата
watch смотреть
water вода 
wave волна
way путь
we мы
weak слабый
weapon оружие
wear одежда
weather погода
yard двор
year год 
yellow желтый
yesterday вчера 
yet еще
you вы
your твой
yours ваш 
yourself сам 
